Time; ConsInst; ProdInst; ConsSinceBeg; ProdSinceBeg;
196,0; 1,6496661592901605E8; 9,360129506454681E9; 7,820075777287552E10; 1,2535888131999893E12; 
197,0; 1,4989970694610426E8; 2,401295064546883E8; 7,835065747982162E10; 1,2538289427064438E12; 
198,0; 1,621662614674752E8; 9,360129506454681E9; 7,85128237412891E10; 1,2631890722128984E12; 
199,0; 1,489794689104444E8; 2,400518025818818E8; 7,866180321019954E10; 1,2634291240154802E12; 
200,0; 1,4812747934736484E8; 2,401295064546883E8; 7,88099306895469E10; 1,2636692535219348E12; 
201,0; 1,6206175537874255E8; 9,360129506454681E9; 7,897199244492564E10; 1,2730293830283894E12; 
202,0; 1,494839600480317E8; 2,401295064546883E8; 7,912147640497368E10; 1,273269512534844E12; 
203,0; 1,6476886992739952E8; 9,360129506454681E9; 7,928624527490108E10; 1,2826296420412986E12; 
204,0; 1,48900797852784E8; 2,401295064546883E8; 7,943514607275386E10; 1,2828697715477532E12; 
205,0; 1,6288476089593226E8; 9,360129506454681E9; 7,95980308336498E10; 1,2922299010542078E12; 
206,0; 1,4946251478602856E8; 2,401295064546883E8; 7,974749334843582E10; 1,2924700305606624E12; 
207,0; 1,4828501235445905E8; 2,401295064546883E8; 7,989577836079028E10; 1,292710160067117E12; 
208,0; 1,631471472745811E8; 9,360129506454681E9; 8,005892550806487E10; 1,3020702895735715E12; 
209,0; 1,4959933017032912E8; 2,401295064546883E8; 8,02085248382352E10; 1,3023104190800261E12; 
210,0; 1,6574284189454734E8; 9,360129506454681E9; 8,037426768012975E10; 1,3116705485864807E12; 
211,0; 1,486485963526511E8; 2,401295064546883E8; 8,052291627648239E10; 1,3119106780929353E12; 
212,0; 1,6139980104982817E8; 9,360129506454681E9; 8,068431607753223E10; 1,32127080759939E12; 
213,0; 1,5040477708036047E8; 2,400518025818818E8; 8,08347208546126E10; 1,3215108594019717E12; 
214,0; 1,4793964898710558E8; 2,401295064546883E8; 8,09826605035997E10; 1,3217509889084263E12; 
215,0; 1,6291877307490343E8; 2,401295064546883E8; 8,11455792766746E10; 1,3219911184148809E12; 
216,0; 1,4986082549059558E8; 2,401295064546883E8; 8,12954401021652E10; 1,3222312479213354E12; 
217,0; 1,6514000346571445E8; 9,360129506454681E9; 8,146058010563092E10; 1,33159137742779E12; 
218,0; 1,4864677929162323E8; 2,401295064546883E8; 8,160922688492255E10; 1,3318315069342446E12; 
219,0; 1,619853601501827E8; 9,360128264204712E9; 8,177121224507272E10; 1,3411916351984492E12; 
220,0; 1,4868375168502706E8; 2,4012826420483786E8; 8,191989599675775E10; 1,341431763462654E12; 
221,0; 1,4860664890169132E8; 2,4012826420483786E8; 8,206850264565944E10; 1,341671891726859E12; 
222,0; 1,6292320899472612E8; 9,360128264204712E9; 8,223142585465416E10; 1,3510320199910635E12; 
223,0; 1,4974894430674377E8; 2,4012826420483786E8; 8,23811747989609E10; 1,3512721482552683E12; 
224,0; 1,6530467133646327E8; 9,360128264204712E9; 8,254647947029736E10; 1,3606322765194731E12; 
225,0; 1,4994380570442238E8; 2,4012826420483786E8; 8,269642327600179E10; 1,360872404783678E12; 
226,0; 1,6246066047491318E8; 9,360128264204712E9; 8,28588839364767E10; 1,3702325330478828E12; 
227,0; 1,489342919263535E8; 2,4012826420483786E8; 8,300781822840306E10; 1,3704726613120876E12; 
228,0; 1,4942144129467416E8; 2,4012826420483786E8; 8,315723966969774E10; 1,3707127895762925E12; 
229,0; 1,6271715287945363E8; 9,360128264204712E9; 8,33199568225772E10; 1,380072917840497E12; 
230,0; 1,4938213194805127E8; 2,4012826420483786E8; 8,346933895452524E10; 1,380313046104702E12; 
231,0; 1,6523036259565246E8; 9,360128264204712E9; 8,36345693171209E10; 1,3896731743689067E12; 
232,0; 1,4922893811414784E8; 2,4012826420483786E8; 8,378379825523505E10; 1,3899133026331116E12; 
233,0; 1,614273937253346E8; 9,360128264204712E9; 8,394522564896039E10; 1,3992734308973164E12; 
234,0; 1,4913764205228826E8; 2,4012826420483786E8; 8,409436329101268E10; 1,3995135591615212E12; 
235,0; 1,4918350254099336E8; 2,4012826420483786E8; 8,424354679355368E10; 1,399753687425726E12; 
236,0; 1,627736419821197E8; 9,360128264204712E9; 8,44063204355358E10; 1,4091138156899307E12; 
237,0; 1,4985959981063938E8; 2,4012826420483786E8; 8,455618003534644E10; 1,4093539439541355E12; 
238,0; 1,648807118115015E8; 9,360128264204712E9; 8,472106074715794E10; 1,4187140722183403E12; 
239,0; 1,4862091674476776E8; 2,4012826420483786E8; 8,486968166390271E10; 1,4189542004825452E12; 
240,0; 1,63016862783135E8; 9,360128264204712E9; 8,503269852668585E10; 1,42831432874675E12; 
241,0; 1,4863403980155107E8; 2,4012826420483786E8; 8,51813325664874E10; 1,4285544570109548E12; 
242,0; 1,4934498264732468E8; 2,4012826420483786E8; 8,533067754913472E10; 1,4287945852751597E12; 
243,0; 1,6261692411150125E8; 2,4012826420483786E8; 8,549329447324622E10; 1,4290347135393645E12; 
244,0; 1,494893185821844E8; 2,4012826420483786E8; 8,56427837918284E10; 1,4292748418035693E12; 
245,0; 1,6587353796971753E8; 9,360128264204712E9; 8,580865732979811E10; 1,438634970067774E12; 
246,0; 1,492602979594453E8; 2,4005130568193457E8; 8,595791762775755E10; 1,4388750213734558E12; 
247,0; 1,6217945220975918E8; 9,360128264204712E9; 8,612009707996732E10; 1,4482351496376606E12; 
248,0; 1,4841434537777779E8; 2,4012826420483786E8; 8,62685114253451E10; 1,4484752779018655E12; 
249,0; 1,4891639721489E8; 2,4012826420483786E8; 8,641742782255998E10; 1,4487154061660703E12; 
250,0; 1,6277514234418434E8; 9,360128264204712E9; 8,658020296490416E10; 1,458075534430275E12; 
251,0; 1,4969359126014897E8; 2,4012620719051188E8; 8,67298965561643E10; 1,4583156606374653E12; 
252,0; 1,6533098294518372E8; 9,360126207190619E9; 8,68952275391095E10; 1,467675786844656E12; 
253,0; 1,48905669649494E8; 2,4012620719051188E8; 8,704413320875899E10; 1,4679159130518464E12; 
