Time; ConsInst; ProdInst; ConsSinceBeg; ProdSinceBeg;
857,0; 571112,8139267951; 6529481,27238581; 4,946819250391314E8; 5,595673399476821E9; 
858,0; 570935,6142478159; 6529481,27238581; 4,952528606533792E8; 5,602202880749207E9; 
859,0; 571903,0443440081; 6529481,27238581; 4,958247636977232E8; 5,608732362021592E9; 
860,0; 571485,6645045773; 6529481,27238581; 4,963962493622278E8; 5,615261843293978E9; 
861,0; 571871,420876933; 6529481,27238581; 4,969681207831047E8; 5,621791324566363E9; 
862,0; 572216,7453503294; 6529481,27238581; 4,97540337528455E8; 5,628320805838749E9; 
863,0; 571213,3997404744; 6529481,27238581; 4,981115509281955E8; 5,634850287111135E9; 
864,0; 572422,1777805235; 6529481,27238581; 4,98683973105976E8; 5,64137976838352E9; 
865,0; 570412,9103266941; 6529481,27238581; 4,992543860163027E8; 5,647909249655906E9; 
866,0; 572639,3996363475; 6529481,27238581; 4,9982702541593903E8; 5,654438730928291E9; 
867,0; 572238,8652242612; 6529481,27238581; 5,003992642811633E8; 5,660968212200677E9; 
868,0; 573219,0160198756; 6529481,27238581; 5,0097248329718316E8; 5,6674976934730625E9; 
869,0; 572407,9738822212; 6529481,27238581; 5,0154489127106535E8; 5,674027174745448E9; 
870,0; 572008,4594293566; 6529481,27238581; 5,0211689973049474E8; 5,680556656017834E9; 
871,0; 571636,7915323434; 6529481,27238581; 5,026885365220271E8; 5,687086137290219E9; 
872,0; 571815,7654294467; 6529481,27238581; 5,032603522874565E8; 5,693615618562605E9; 
873,0; 572049,3023791593; 6529481,27238581; 5,0383240158983564E8; 5,7001450998349905E9; 
874,0; 571468,9342394993; 6529481,27238581; 5,0440387052407515E8; 5,706674581107376E9; 
875,0; 572438,265576127; 6529481,27238581; 5,049763087896513E8; 5,713204062379762E9; 
876,0; 571167,5690503367; 6529481,27238581; 5,055474763587016E8; 5,719733543652147E9; 
877,0; 571465,1954486831; 6529481,27238581; 5,061189415541503E8; 5,726263024924533E9; 
878,0; 571845,8188188032; 6529481,27238581; 5,066907873729691E8; 5,7327925061969185E9; 
879,0; 572257,5747383746; 6529481,27238581; 5,072630449477075E8; 5,739321987469304E9; 
880,0; 572936,2702771154; 6529481,27238581; 5,078359812179846E8; 5,74585146874169E9; 
881,0; 571660,6520430007; 6529481,27238581; 5,084076418700276E8; 5,752380950014075E9; 
882,0; 572028,1692662737; 6529481,27238581; 5,089796700392939E8; 5,758910431286461E9; 
883,0; 571841,1898483346; 6529481,27238581; 5,0955151122914225E8; 5,765439912558846E9; 
884,0; 572483,8440509975; 6529481,27238581; 5,1012399507319325E8; 5,771969393831232E9; 
885,0; 571953,3716034536; 6529481,27238581; 5,106959484447967E8; 5,778498875103618E9; 
886,0; 570843,8118456742; 6529481,27238581; 5,1126679225664234E8; 5,785028356376003E9; 
887,0; 570716,1224592911; 6529481,27238581; 5,1183750837910163E8; 5,791557837648389E9; 
888,0; 572140,6267766397; 6529481,27238581; 5,1240964900587827E8; 5,798087318920774E9; 
889,0; 571498,7271765053; 6529481,27238581; 5,1298114773305476E8; 5,80461680019316E9; 
890,0; 571616,8603895565; 6529481,27238581; 5,135527645934443E8; 5,811146281465546E9; 
891,0; 572455,0266552235; 6529481,27238581; 5,141252196200995E8; 5,817675762737931E9; 
892,0; 572695,955126073; 6529481,27238581; 5,1469791557522553E8; 5,824205244010317E9; 
893,0; 572175,9014412733; 6529481,27238581; 5,152700914766668E8; 5,830734725282702E9; 
894,0; 572069,6660516958; 6529481,27238581; 5,158421611427185E8; 5,837264206555088E9; 
895,0; 572347,6554673066; 6529481,27238581; 5,164145087981858E8; 5,843793687827474E9; 
896,0; 570483,8697463936; 6529481,27238581; 5,169849926679322E8; 5,850323169099859E9; 
897,0; 570693,4562413833; 6529481,27238581; 5,175556861241736E8; 5,856852650372245E9; 
898,0; 572014,2471724362; 6529481,27238581; 5,18127700371346E8; 5,86338213164463E9; 
899,0; 571176,793699659; 6529481,27238581; 5,186988771650457E8; 5,869911612917016E9; 
900,0; 571003,8658344565; 6529481,27238581; 5,1926988103088015E8; 5,876441094189402E9; 
901,0; 571559,2106097776; 6529459,335481114; 5,1984144024148995E8; 5,882970553524882E9; 
902,0; 571869,5752220497; 6529459,335481114; 5,20413309816712E8; 5,889500012860363E9; 
903,0; 572054,6223866171; 6529459,335481114; 5,2098536443909866E8; 5,896029472195844E9; 
904,0; 571103,0569121422; 6529459,335481114; 5,215564674960108E8; 5,902558931531324E9; 
905,0; 571274,0051087086; 6529459,335481114; 5,221277415011195E8; 5,909088390866805E9; 
906,0; 571875,3006109683; 6529459,335481114; 5,2269961680173045E8; 5,915617850202286E9; 
907,0; 570850,7861387458; 6529459,335481114; 5,232704675878692E8; 5,922147309537766E9; 
908,0; 572326,8322342653; 6529459,335481114; 5,238427944201035E8; 5,928676768873247E9; 
909,0; 572441,7636540888; 6529459,335481114; 5,244152361837576E8; 5,935206228208728E9; 
910,0; 572943,9932875285; 6529459,335481114; 5,249881801770451E8; 5,941735687544209E9; 
911,0; 571972,6315331473; 6529459,335481114; 5,2556015280857825E8; 5,948265146879689E9; 
912,0; 571883,0351583483; 6529459,335481114; 5,261320358437366E8; 5,95479460621517E9; 
913,0; 571289,6503998413; 6529459,335481114; 5,2670332549413645E8; 5,961324065550651E9; 
914,0; 572422,6667062085; 6529459,335481114; 5,2727574816084266E8; 5,967853524886131E9; 
915,0; 572291,2337351597; 6529459,335481114; 5,278480393945778E8; 5,974382984221612E9; 
916,0; 571915,5367614856; 6529459,335481114; 5,2841995493133926E8; 5,980912443557093E9; 
917,0; 571582,2970824296; 6529459,335481114; 5,289915372284217E8; 5,987441902892573E9; 
918,0; 571676,7150446709; 6529459,335481114; 5,2956321394346637E8; 5,993971362228054E9; 
919,0; 571222,6725238308; 6529459,335481114; 5,301344366159902E8; 6,000500821563535E9; 
920,0; 571854,7244827468; 6529459,335481114; 5,30706291340473E8; 6,007030280899015E9; 
921,0; 572081,080621176; 6529459,335481114; 5,312783724210942E8; 6,013559740234496E9; 
922,0; 571857,8980784076; 6529459,335481114; 5,3185023031917256E8; 6,020089199569977E9; 
923,0; 571298,4566728034; 6529459,335481114; 5,3242152877584535E8; 6,0266186589054575E9; 
924,0; 571264,9093686497; 6529459,335481114; 5,32992793685214E8; 6,033148118240938E9; 
925,0; 571162,2033921565; 6529459,335481114; 5,3356395588860613E8; 6,039677577576419E9; 
926,0; 572164,9578517727; 6529459,335481114; 5,341361208464579E8; 6,0462070369119E9; 
927,0; 571679,3137949379; 6529459,335481114; 5,347078001602528E8; 6,05273649624738E9; 
928,0; 571329,7125415248; 6529459,335481114; 5,3527912987279433E8; 6,059265955582861E9; 
929,0; 572064,8396451194; 6529459,335481114; 5,358511947124395E8; 6,065795414918342E9; 
930,0; 571279,8066137965; 6529459,335481114; 5,364224745190533E8; 6,072324874253822E9; 
931,0; 571841,1862439819; 6529459,335481114; 5,369943157052972E8; 6,078854333589303E9; 
932,0; 571639,7098255707; 6529459,335481114; 5,375659554151227E8; 6,085383792924784E9; 
933,0; 571974,7671344419; 6529459,335481114; 5,381379301822572E8; 6,091913252260264E9; 
934,0; 570777,9347453769; 6529459,335481114; 5,387087081170026E8; 6,098442711595745E9; 
935,0; 571761,1249768223; 6529459,335481114; 5,392804692419795E8; 6,104972170931226E9; 
936,0; 573117,0253283938; 6529459,335481114; 5,398535862673079E8; 6,111501630266706E9; 
937,0; 572182,5499431791; 6529459,335481114; 5,404257688172511E8; 6,118031089602187E9; 
